f_phasing,altitude_plane_1_km,inclination_plane_1_deg,high_q_plane_1,med_q_plane_1,low_q_plane_1,altitude_plane_2_km,inclination_plane_2_deg,high_q_plane_2,med_q_plane_2,low_q_plane_2,altitude_plane_3_km,inclination_plane_3_deg,high_q_plane_3,med_q_plane_3,low_q_plane_3,altitude_plane_4_km,inclination_plane_4_deg,high_q_plane_4,med_q_plane_4,low_q_plane_4,altitude_plane_5_km,inclination_plane_5_deg,high_q_plane_5,med_q_plane_5,low_q_plane_5,altitude_plane_6_km,inclination_plane_6_deg,high_q_plane_6,med_q_plane_6,low_q_plane_6,altitude_plane_7_km,inclination_plane_7_deg,high_q_plane_7,med_q_plane_7,low_q_plane_7,altitude_plane_8_km,inclination_plane_8_deg,high_q_plane_8,med_q_plane_8,low_q_plane_8,altitude_plane_9_km,inclination_plane_9_deg,high_q_plane_9,med_q_plane_9,low_q_plane_9,altitude_plane_10_km,inclination_plane_10_deg,high_q_plane_10,med_q_plane_10,low_q_plane_10,total_system_cost_usd,mean_revisit_time_hr,mean_achieved_quality
1,540.57,68.71,4,6,4,436.53,44.94,4,6,8,701.1,81.61,1,4,3,449.95,35.24,5,2,2,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,244100000.0,3.5405,0.3736
1,569.65,57.11,0,0,4,553.0,60.43,5,8,7,510.63,86.72,9,1,6,667.11,25.59,5,7,6,726.76,61.58,3,0,2,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,330250000.0,2.054,0.3373
3,605.75,33.16,11,2,5,434.95,58.44,4,0,3,663.98,75.04,3,4,2,318.42,73.34,5,0,5,446.51,93.12,5,6,5,386.74,36.96,4,0,5,753.64,46.68,2,0,3,632.88,33.08,4,0,4,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,488600000.0,1.854,0.3705
2,791.47,68.27,5,4,5,423.29,52.85,0,0,2,363.35,50.59,5,0,7,545.87,84.81,4,2,5,599.56,49.11,0,2,3,547.51,71.5,1,8,4,602.87,80.05,5,2,4,501.95,65.98,2,2,3,774.98,33.35,0,4,8,-1.0,-1.0,-1,-1,-1,388050000.0,1.6603,0.2997
0,493.78,81.93,1,3,16,629.82,40.46,8,6,3,568.35,82.96,9,8,3,766.38,74.15,4,5,5,612.33,75.51,5,0,4,520.53,62.27,4,2,13,780.85,84.47,7,3,7,530.02,42.64,0,0,3,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,584575000.0,1.0454,0.3126
3,790.67,66.55,2,1,2,426.61,70.98,0,0,2,506.05,72.49,0,8,12,646.26,74.86,3,6,9,530.13,83.71,2,3,9,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,198700000.0,2.9705,0.2987
1,746.45,50.94,9,9,1,768.15,94.59,4,7,8,775.32,62.33,5,4,2,481.68,44.95,6,1,5,324.69,50.48,8,3,7,795.97,38.3,2,3,14,382.27,66.7,0,0,2,660.2,63.18,9,5,1,791.77,35.17,2,3,4,-1.0,-1.0,-1,-1,-1,673825000.0,0.8202,0.2829
2,319.22,54.52,6,6,3,333.16,51.73,4,4,3,648.66,92.4,2,2,3,409.36,67.0,3,5,3,683.0,76.41,2,1,2,738.5,63.62,0,1,1,731.88,46.69,5,5,6,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,357050000.0,2.6473,0.3442
0,643.92,83.27,1,8,10,539.44,32.13,0,3,3,475.33,71.64,0,0,2,463.27,31.81,0,0,3,403.28,88.71,3,6,6,471.43,88.28,3,9,6,518.69,53.61,8,1,11,758.04,72.66,4,3,2,678.91,29.34,9,5,4,602.9,95.63,3,5,8,568000000.0,1.5678,0.3203
2,358.39,69.71,5,1,5,460.22,65.18,0,0,2,725.01,80.86,4,1,15,413.43,74.45,0,2,3,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,147500000.0,4.5953,0.326
